price,contracts,side,cum_contracts,price_cents
0.55,66.73,yes_ask_implied,66.73,55.00000000000001
0.5529999999999999,25.0,yes_ask_implied,91.73,55.3
0.554,823.23,yes_ask_implied,914.96,55.400000000000006
0.558,2000.0,yes_ask_implied,2914.96,55.800000000000004
0.56,5.0,yes_ask_implied,2919.96,56.00000000000001
0.565,16.0,yes_ask_implied,2935.96,56.49999999999999
0.5700000000000001,3000.0,yes_ask_implied,5935.96,57.00000000000001
0.573,18.0,yes_ask_implied,5953.96,57.3
0.577,190.0,yes_ask_implied,6143.96,57.699999999999996
0.5780000000000001,2000.0,yes_ask_implied,8143.96,57.800000000000004
0.583,18.0,yes_ask_implied,8161.96,58.3
0.585,500.0,yes_ask_implied,8661.96,58.5
0.5900000000000001,2047.0,yes_ask_implied,10708.96,59.00000000000001
0.603,18.0,yes_ask_implied,10726.96,60.3
0.604,400.0,yes_ask_implied,11126.96,60.4
0.64,3.0,yes_ask_implied,11129.96,64.0
0.65,5000.0,yes_ask_implied,16129.96,65.0
0.669,18.0,yes_ask_implied,16147.96,66.9
0.6699999999999999,50.0,yes_ask_implied,16197.96,67.0
0.6799999999999999,196.0,yes_ask_implied,16393.96,68.0
0.69,343.0,yes_ask_implied,16736.96,69.0
0.7,880.0,yes_ask_implied,17616.96,70.0
0.71,405.0,yes_ask_implied,18021.96,71.0
0.72,18.0,yes_ask_implied,18039.96,72.0
0.73,219.0,yes_ask_implied,18258.96,73.0
0.75,100.0,yes_ask_implied,18358.96,75.0
0.8,400.0,yes_ask_implied,18758.96,80.0
0.819,2225.0,yes_ask_implied,20983.96,81.89999999999999
0.8200000000000001,50.0,yes_ask_implied,21033.96,82.0
0.84,501.0,yes_ask_implied,21534.96,84.0
0.88,1.77,yes_ask_implied,21536.73,88.0
0.918,146.0,yes_ask_implied,21682.73,91.8
0.929,41.0,yes_ask_implied,21723.73,92.9
0.9299999999999999,1142.0,yes_ask_implied,22865.73,93.0
0.968,57.0,yes_ask_implied,22922.73,96.8
0.969,400.0,yes_ask_implied,23322.73,96.89999999999999
0.97,1033.0,yes_ask_implied,24355.73,97.0
0.98,2900.0,yes_ask_implied,27255.73,98.0
0.99,4412.48,yes_ask_implied,31668.21,99.0
0.999,1000.0,yes_ask_implied,32668.21,99.9
