price,contracts,side
0.55,66.73,yes_ask_implied
0.5529999999999999,25.0,yes_ask_implied
0.554,823.23,yes_ask_implied
0.558,2000.0,yes_ask_implied
0.56,5.0,yes_ask_implied
0.565,16.0,yes_ask_implied
0.5700000000000001,3000.0,yes_ask_implied
0.573,18.0,yes_ask_implied
0.577,190.0,yes_ask_implied
0.5780000000000001,2000.0,yes_ask_implied
0.583,18.0,yes_ask_implied
0.585,500.0,yes_ask_implied
0.5900000000000001,2047.0,yes_ask_implied
0.603,18.0,yes_ask_implied
0.604,400.0,yes_ask_implied
0.64,3.0,yes_ask_implied
0.65,5000.0,yes_ask_implied
0.669,18.0,yes_ask_implied
0.6699999999999999,50.0,yes_ask_implied
0.6799999999999999,196.0,yes_ask_implied
0.69,343.0,yes_ask_implied
0.7,880.0,yes_ask_implied
0.71,405.0,yes_ask_implied
0.72,18.0,yes_ask_implied
0.73,219.0,yes_ask_implied
0.75,100.0,yes_ask_implied
0.8,400.0,yes_ask_implied
0.819,2225.0,yes_ask_implied
0.8200000000000001,50.0,yes_ask_implied
0.84,501.0,yes_ask_implied
0.88,1.77,yes_ask_implied
0.918,146.0,yes_ask_implied
0.929,41.0,yes_ask_implied
0.9299999999999999,1142.0,yes_ask_implied
0.968,57.0,yes_ask_implied
0.969,400.0,yes_ask_implied
0.97,1033.0,yes_ask_implied
0.98,2900.0,yes_ask_implied
0.99,4412.48,yes_ask_implied
0.999,1000.0,yes_ask_implied
