price,contracts,side
0.45,66.73,no_bid
0.447,25.0,no_bid
0.446,823.23,no_bid
0.442,2000.0,no_bid
0.44,5.0,no_bid
0.435,16.0,no_bid
0.43,3000.0,no_bid
0.427,18.0,no_bid
0.423,190.0,no_bid
0.422,2000.0,no_bid
0.417,18.0,no_bid
0.415,500.0,no_bid
0.41,2047.0,no_bid
0.397,18.0,no_bid
0.396,400.0,no_bid
0.36,3.0,no_bid
0.35,5000.0,no_bid
0.331,18.0,no_bid
0.33,50.0,no_bid
0.32,196.0,no_bid
0.31,343.0,no_bid
0.3,880.0,no_bid
0.29,405.0,no_bid
0.28,18.0,no_bid
0.27,219.0,no_bid
0.25,100.0,no_bid
0.2,400.0,no_bid
0.181,2225.0,no_bid
0.18,50.0,no_bid
0.16,501.0,no_bid
0.12,1.77,no_bid
0.082,146.0,no_bid
0.071,41.0,no_bid
0.07,1142.0,no_bid
0.032,57.0,no_bid
0.031,400.0,no_bid
0.03,1033.0,no_bid
0.02,2900.0,no_bid
0.01,4412.48,no_bid
0.001,1000.0,no_bid
