price,contracts,side,cum_contracts,price_cents
0.539,61.68,yes_bid,61.68,53.900000000000006
0.538,2000.0,yes_bid,2061.68,53.800000000000004
0.536,103.07,yes_bid,2164.75,53.6
0.531,292.58,yes_bid,2457.33,53.1
0.526,2.0,yes_bid,2459.33,52.6
0.519,1.32,yes_bid,2460.65,51.9
0.518,2000.0,yes_bid,4460.65,51.800000000000004
0.51,2000.0,yes_bid,6460.65,51.0
0.509,1.32,yes_bid,6461.969999999999,50.9
0.5,50.0,yes_bid,6511.969999999999,50.0
0.489,1.32,yes_bid,6513.289999999999,48.9
0.355,19.0,yes_bid,6532.289999999999,35.5
0.35,1.0,yes_bid,6533.289999999999,35.0
0.34,2.0,yes_bid,6535.289999999999,34.0
0.33,3.0,yes_bid,6538.289999999999,33.0
0.321,1.32,yes_bid,6539.609999999999,32.1
0.32,19.0,yes_bid,6558.609999999999,32.0
0.31,176.0,yes_bid,6734.609999999999,31.0
0.281,34.0,yes_bid,6768.609999999999,28.1
0.28,1950.0,yes_bid,8718.609999999999,28.000000000000004
0.241,2100.0,yes_bid,10818.609999999999,24.099999999999998
0.24,30.0,yes_bid,10848.609999999999,24.0
0.21,15.0,yes_bid,10863.609999999999,21.0
0.18,17.0,yes_bid,10880.609999999999,18.0
0.17,17.0,yes_bid,10897.609999999999,17.0
0.16,16.0,yes_bid,10913.609999999999,16.0
0.151,400.0,yes_bid,11313.609999999999,15.1
0.15,3118.0,yes_bid,14431.609999999999,15.0
0.14,5016.0,yes_bid,19447.61,14.000000000000002
0.13,15.0,yes_bid,19462.61,13.0
0.12,2976.0,yes_bid,22438.61,12.0
0.11,4433.0,yes_bid,26871.61,11.0
0.1,139.0,yes_bid,27010.61,10.0
0.09,115.0,yes_bid,27125.61,9.0
0.08,10511.0,yes_bid,37636.61,8.0
0.07,10195.0,yes_bid,47831.61,7.000000000000001
0.06,120.0,yes_bid,47951.61,6.0
0.05,5019.0,yes_bid,52970.61,5.0
0.04,19.0,yes_bid,52989.61,4.0
0.03,9935.0,yes_bid,62924.61,3.0
0.02,2921.0,yes_bid,65845.61,2.0
0.01,5019.09,yes_bid,70864.7,1.0
0.001,1065.0,yes_bid,71929.7,0.1
