price,contracts,side
0.539,61.68,yes_bid
0.538,2000.0,yes_bid
0.536,103.07,yes_bid
0.531,292.58,yes_bid
0.526,2.0,yes_bid
0.519,1.32,yes_bid
0.518,2000.0,yes_bid
0.51,2000.0,yes_bid
0.509,1.32,yes_bid
0.5,50.0,yes_bid
0.489,1.32,yes_bid
0.355,19.0,yes_bid
0.35,1.0,yes_bid
0.34,2.0,yes_bid
0.33,3.0,yes_bid
0.321,1.32,yes_bid
0.32,19.0,yes_bid
0.31,176.0,yes_bid
0.281,34.0,yes_bid
0.28,1950.0,yes_bid
0.241,2100.0,yes_bid
0.24,30.0,yes_bid
0.21,15.0,yes_bid
0.18,17.0,yes_bid
0.17,17.0,yes_bid
0.16,16.0,yes_bid
0.151,400.0,yes_bid
0.15,3118.0,yes_bid
0.14,5016.0,yes_bid
0.13,15.0,yes_bid
0.12,2976.0,yes_bid
0.11,4433.0,yes_bid
0.1,139.0,yes_bid
0.09,115.0,yes_bid
0.08,10511.0,yes_bid
0.07,10195.0,yes_bid
0.06,120.0,yes_bid
0.05,5019.0,yes_bid
0.04,19.0,yes_bid
0.03,9935.0,yes_bid
0.02,2921.0,yes_bid
0.01,5019.09,yes_bid
0.001,1065.0,yes_bid
